,time,amp
0,0.0,-0.245
1,0.0125,-0.215
2,0.025,-0.185
3,0.0375,-0.175
4,0.05,-0.17
5,0.0625,-0.17
6,0.075,-0.185
7,0.0875,-0.17
8,0.1,-0.16
9,0.1125,-0.15
10,0.125,-0.17
11,0.1375,-0.205
12,0.15,-0.22
13,0.1625,-0.23
14,0.175,-0.21
15,0.1875,-0.19
16,0.2,-0.175
17,0.2125,-0.185
18,0.225,-0.19
19,0.2375,-0.19
20,0.25,-0.2
21,0.2625,-0.2
22,0.275,-0.21
23,0.2875,-0.205
24,0.3,-0.215
25,0.3125,-0.205
26,0.325,-0.225
27,0.3375,-0.235
28,0.35,-0.225
29,0.3625,-0.205
30,0.375,-0.21
31,0.3875,-0.2
32,0.4,-0.2
33,0.4125,-0.195
34,0.425,-0.185
35,0.4375,-0.19
36,0.45,-0.215
37,0.4625,-0.22
38,0.475,-0.195
39,0.4875,-0.195
40,0.5,-0.22
41,0.5125,-0.25
42,0.525,-0.22
43,0.5375,-0.165
44,0.55,-0.15
45,0.5625,-0.145
46,0.575,-0.185
47,0.5875,-0.195
48,0.6,-0.195
49,0.6125,-0.185
50,0.625,-0.17
51,0.6375,-0.16
52,0.65,-0.16
53,0.6625,-0.18
54,0.675,-0.205
55,0.6875,-0.2
56,0.7,-0.165
57,0.7125,-0.135
58,0.725,-0.13
59,0.7375,-0.13
60,0.75,-0.13
61,0.7625,-0.11
62,0.775,-0.065
63,0.7875,-0.03
64,0.8,-0.04
65,0.8125,-0.055
66,0.825,-0.055
67,0.8375,-0.035
68,0.85,0.0
69,0.8625,0.015
70,0.875,0.015
71,0.8875,0.0
72,0.9,0.01
73,0.9125,0.015
74,0.925,0.02
75,0.9375,0.035
76,0.95,0.045
77,0.9625,0.04
78,0.975,0.03
79,0.9875,0.025
80,1.0,0.005
81,1.0125,-0.005
82,1.025,-0.025
83,1.0375,-0.05
84,1.05,-0.05
85,1.0625,-0.045
86,1.075,-0.025
87,1.0875,-0.02
88,1.1,-0.035
89,1.1125,-0.065
90,1.125,-0.065
91,1.1375,-0.075
92,1.15,-0.07
93,1.1625,-0.085
94,1.175,-0.1
95,1.1875,-0.14
96,1.2,-0.145
97,1.2125,-0.14
98,1.225,-0.115
99,1.2375,-0.095
100,1.25,-0.09
101,1.2625,-0.1
102,1.275,-0.11
103,1.2875,-0.125
104,1.3,-0.125
105,1.3125,-0.11
106,1.325,-0.085
107,1.3375,-0.095
108,1.35,-0.08
109,1.3625,-0.065
110,1.375,-0.03
111,1.3875,-0.04
112,1.4,-0.065
113,1.4125,-0.11
114,1.425,-0.145
115,1.4375,-0.145
116,1.45,-0.075
117,1.4625,0.035
118,1.475,0.22
119,1.4875,0.435
120,1.5,0.695
121,1.5125,1.005
122,1.525,1.3
123,1.5375,1.535
124,1.55,1.72
125,1.5625,1.82
126,1.575,1.72
127,1.5875,1.425
128,1.6,1.02
129,1.6125,0.6
130,1.625,0.2
131,1.6375,-0.095
132,1.65,-0.215
133,1.6625,-0.19
134,1.675,-0.125
135,1.6875,-0.105
136,1.7,-0.115
137,1.7125,-0.13
138,1.725,-0.1
139,1.7375,-0.075
140,1.75,-0.08
141,1.7625,-0.11
142,1.775,-0.125
143,1.7875,-0.155
144,1.8,-0.165
145,1.8125,-0.17
146,1.825,-0.17
147,1.8375,-0.17
148,1.85,-0.17
149,1.8625,-0.185
150,1.875,-0.185
151,1.8875,-0.2
152,1.9,-0.19
153,1.9125,-0.175
154,1.925,-0.155
155,1.9375,-0.14
156,1.95,-0.175
157,1.9625,-0.175
158,1.975,-0.17
159,1.9875,-0.15
160,2.0,-0.16
161,2.0125,-0.165
162,2.025,-0.18
163,2.0375,-0.19
164,2.05,-0.165
165,2.0625,-0.14
166,2.075,-0.13
167,2.0875,-0.15
168,2.1,-0.16
169,2.1125,-0.145
170,2.125,-0.125
171,2.1375,-0.115
172,2.15,-0.11
173,2.1625,-0.115
174,2.175,-0.12
175,2.1875,-0.115
176,2.2,-0.095
177,2.2125,-0.085
178,2.225,-0.09
179,2.2375,-0.09
180,2.25,-0.1
181,2.2625,-0.095
182,2.275,-0.085
183,2.2875,-0.065
184,2.3,-0.06
185,2.3125,-0.07
186,2.325,-0.05
187,2.3375,-0.045
188,2.35,-0.02
189,2.3625,0.01
190,2.375,0.02
191,2.3875,0.04
192,2.4,0.055
193,2.4125,0.065
194,2.425,0.075
195,2.4375,0.095
196,2.45,0.115
197,2.4625,0.085
198,2.475,0.06
199,2.4875,0.08
200,2.5,0.125
201,2.5125,0.16
202,2.525,0.165
203,2.5375,0.17
204,2.55,0.185
205,2.5625,0.22
206,2.575,0.225
207,2.5875,0.235
208,2.6,0.22
209,2.6125,0.23
210,2.625,0.25
211,2.6375,0.28
212,2.65,0.27
213,2.6625,0.25
214,2.675,0.255
215,2.6875,0.245
216,2.7,0.235
217,2.7125,0.235
218,2.725,0.25
219,2.7375,0.23
220,2.75,0.245
221,2.7625,0.23
222,2.775,0.22
223,2.7875,0.215
224,2.8,0.18
225,2.8125,0.12
226,2.825,0.075
227,2.8375,0.065
228,2.85,0.06
229,2.8625,0.055
230,2.875,0.025
231,2.8875,-0.005
232,2.9,-0.04
233,2.9125,-0.085
234,2.925,-0.135
235,2.9375,-0.145
236,2.95,-0.14
237,2.9625,-0.12
238,2.975,-0.12
239,2.9875,-0.16
240,3.0,-0.195
241,3.0125,-0.2
242,3.025,-0.215
243,3.0375,-0.2
244,3.05,-0.2
245,3.0625,-0.215
246,3.075,-0.255
247,3.0875,-0.27
248,3.1,-0.225
249,3.1125,-0.225
250,3.125,-0.24
251,3.1375,-0.25
252,3.15,-0.23
253,3.1625,-0.19
254,3.175,-0.18
255,3.1875,-0.2
256,3.2,-0.21
257,3.2125,-0.215
258,3.225,-0.21
259,3.2375,-0.21
260,3.25,-0.205
261,3.2625,-0.225
262,3.275,-0.23
263,3.2875,-0.24
264,3.3,-0.245
265,3.3125,-0.23
266,3.325,-0.23
267,3.3375,-0.21
268,3.35,-0.2
269,3.3625,-0.185
270,3.375,-0.175
271,3.3875,-0.175
272,3.4,-0.19
273,3.4125,-0.19
274,3.425,-0.19
275,3.4375,-0.2
276,3.45,-0.175
277,3.4625,-0.13
278,3.475,-0.09
279,3.4875,-0.095
280,3.5,-0.13
281,3.5125,-0.17
282,3.525,-0.16
283,3.5375,-0.135
284,3.55,-0.1
285,3.5625,-0.09
286,3.575,-0.115
287,3.5875,-0.115
288,3.6,-0.08
289,3.6125,-0.04
290,3.625,-0.065
291,3.6375,-0.105
292,3.65,-0.12
293,3.6625,-0.12
294,3.675,-0.11
295,3.6875,-0.105
296,3.7,-0.11
297,3.7125,-0.15
298,3.725,-0.155
299,3.7375,-0.16
300,3.75,-0.15
301,3.7625,-0.165
302,3.775,-0.19
303,3.7875,-0.215
304,3.8,-0.27
